CodDiagnostic,DenDiagnostic,DenSubClasaDiagnostic,DenClasaDiagnostic
R609,"Edem, fara  precizare",Simptome si semne generale,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R61,Hipersudatia,Simptome si semne generale,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R620,Maturatia intirziata,Simptome si semne generale,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R628,Alte dezvoltari fiziologice insuficiente,Simptome si semne generale,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R629,"Dezvoltarea fiziologica insuficienta, fara precizare",Simptome si semne generale,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R630,Anorexia,Simptome si semne generale,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R631,Polidipsia,Simptome si semne generale,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R632,Polifagia,Simptome si semne generale,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R633,Dificultatile nutritionale si nutritia neadaptata,Simptome si semne generale,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R634,Pierderea greutatii normale,Simptome si semne generale,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R635,Cresterea anormala a greutatii,Simptome si semne generale,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R638,Alte simptome si semne referitoare la absorbtia alimentelor si lichidelor,Simptome si semne generale,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R64,Casexia,Simptome si semne generale,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R65,Sindromul raspunsului inflamator sistemic (SIRS),Simptome si semne generale,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R650,Sindromul raspunsului inflamator sistemic (SRIS) de origine infectioasa fara insuficienta organica acuta,Simptome si semne generale,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R651,Sindromul raspunsului inflamator sistemic (SRIS) de origine infectioasa cu insuficienta organica acuta,Simptome si semne generale,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R652,Sindromul raspunsului inflamator sistemic (SRIS) de origine neinfectioasa fara insuficienta organica,Simptome si semne generale,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R653,Sindromul raspunsului inflamator sistemic (SRIS) de origine neinfectioasa cu insuficienta organica acuta,Simptome si semne generale,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R680,"Hipotermia, neclasata la alte locuri",Simptome si semne generale,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R681,Simptomele nespecifice ale copilariei,Simptome si semne generale,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R682,"Gura uscata, fara precizare",Simptome si semne generale,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R683,Hipocratismul digital,Simptome si semne generale,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R688,Alte simptome si semne generale precizate,Simptome si semne generale,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R69,Cauze necunoscute si neprecizate de morbiditate,Simptome si semne generale,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R700,Accelerarea vitezei de sedimentare,"Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R701,Viscozitate plasmatica anormala,"Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R71,Anomaliile globulelor rosii,"Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R72,"Anomaliile globulelor albe, neclasate la alte locuri","Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R730,Anomalia probei de toleranta la glucoza,"Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R739,"Hiperglicemia, fara precizare","Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R740,Cresterea nespecifica a nivelului de transaminaze si de acid lactic dehidrogenaza,"Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R748,Alte anomalii nespecifice ale nivelelor de enzime serice,"Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R749,"Nivel anormal sau nespecificat de enzime serica, fara precizare","Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R75,Evidentierea virusului de imunodeficienta umana [VIH] prin investigatii de laborator,"Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R760,Cresterea coeficientului de anticorpi,"Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R761,Reactia anormala la testul tuberculinic,"Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R762,Rezultate fals-pozitive la testul serologic pentru sifilis,"Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R768,Alte anomalii precizate ale rezultatelor imunologice serice,"Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R769,"Anomalia rezultatelor imunologice serice, fara precizare","Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R770,Anomalia albuminei,"Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R771,Anomalia globulinei,"Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R772,Anomalia alpha-foetoproteines,"Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R778,"Alte rezultate anormale, precizate, ale proteinelor plasmatice","Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R779,"Alte rezultate anormale ale proteinelor plasmatice, fara precizare","Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R780,Prezenta alcoolului in singe,"Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R781,Prezenta de opiacee in singe,"Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R782,Prezenta cocainei in singe,"Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R783,Prezenta de halucinogene in singe,"Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R784,"Prezenta in singe a altor substante, susceptibile de a antrena o dependenta","Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R785,Prezenta unei substante psihotrope in singe,"Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R786,Prezenta unui produs steroidian in singe,"Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R787,Prezenta unui coeficient crescut de metale grele in singe,"Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R788,"Prezenta in singe a altor substante, precizate","Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R789,"Prezenta in singe a unei substante, fara precizare","Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R790,Coeficienti anormali de substante minerale in singe,"Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R798,Alte rezultate anormale precizate ale investigatiilor chimice din singe,"Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R799,"Rezultate anormale de investigatii chimice din singe, fara precizare","Rezultate anormale ale examenelor de sange, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R80,Proteinuria izolata,"Rezultate anormale ale investigatiilor din urina, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R81,Glicozuria,"Rezultate anormale ale investigatiilor din urina, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R820,Chyluria,"Rezultate anormale ale investigatiilor din urina, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R821,Mioglobinuria,"Rezultate anormale ale investigatiilor din urina, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R822,Biliuria,"Rezultate anormale ale investigatiilor din urina, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R823,Hemoglobinuria,"Rezultate anormale ale investigatiilor din urina, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R824,Acetonuria,"Rezultate anormale ale investigatiilor din urina, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R825,Cresterea in urina a coeficientului de substante medicamentoase si biologice,"Rezultate anormale ale investigatiilor din urina, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R826,"Coeficient anormal in urina a substantelor de origine, in esenta nemedicale","Rezultate anormale ale investigatiilor din urina, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R827,Rezultate anormale ale examinarii microbiologice in urina,"Rezultate anormale ale investigatiilor din urina, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R828,Rezultate anormale ale examinarii citologice si histologice in urina,"Rezultate anormale ale investigatiilor din urina, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R829,"Rezultate anormale a examinarii urinei, altele si neprecizate","Rezultate anormale ale investigatiilor din urina, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R83,Rezultate anormale ale examinarii lichidului cefalo-rahidian,"Rezultate anormale ale examinarii altor lichide, substante si tesuturi, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R84,Rezultate anormale ale examinarii de prelevat de la nivelul aparatului respirator si toracelui,"Rezultate anormale ale examinarii altor lichide, substante si tesuturi, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R85,Rezultate anormale ale examinarii de prelevat de la nivelul aparatului digestiv si cavitatii abdominale,"Rezultate anormale ale examinarii altor lichide, substante si tesuturi, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R86,Rezultatele anormale ale examinarii de prelevat de la nivelul organelor genitale la barbat,"Rezultate anormale ale examinarii altor lichide, substante si tesuturi, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R87,Rezultatele anormale ale examinarii de prelevat de la nivelul organelor genitale la femeie,"Rezultate anormale ale examinarii altor lichide, substante si tesuturi, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R89,"Rezultate anormale ale examinarii de prelevat de la nivelul altor organe, aparate si tesuturi","Rezultate anormale ale examinarii altor lichide, substante si tesuturi, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R900,Leziune intracraniana,"Rezultate anormale ale imaginii diagnostice si probelor functionale, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R908,Alte rezultate anormale ale imaginii diagnostice a sistemului nervos central,"Rezultate anormale ale imaginii diagnostice si probelor functionale, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R91,Rezultate anormale ale imaginii diagnostice a pulmonului,"Rezultate anormale ale imaginii diagnostice si probelor functionale, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R92,Rezultate anormale ale imaginii diagnostice a sanului,"Rezultate anormale ale imaginii diagnostice si probelor functionale, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R930,"Rezultate anormale ale imaginii diagnostice a craniului si a capului, neclasate la alte locuri","Rezultate anormale ale imaginii diagnostice si probelor functionale, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R931,Rezultate anormale ale imaginii diagnostice a inimii si a circulatiei coronare,"Rezultate anormale ale imaginii diagnostice si probelor functionale, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R932,Rezultate anormale ale imaginii diagnostice a ficatului si cailor biliare,"Rezultate anormale ale imaginii diagnostice si probelor functionale, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R933,Rezultate anormale ale imaginii diagnostice cu alte localizari ale cailor digestive,"Rezultate anormale ale imaginii diagnostice si probelor functionale, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R934,Rezultate anormale ale imaginii diagnostice a aparatului urinar,"Rezultate anormale ale imaginii diagnostice si probelor functionale, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R935,"Rezultate anormale ale imaginii diagnostice cu alte localizari ale abdomenului, inclusiv spatiul retroperitoneal","Rezultate anormale ale imaginii diagnostice si probelor functionale, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R936,Rezultate anormale ale imaginii diagnostice a membrelor,"Rezultate anormale ale imaginii diagnostice si probelor functionale, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R937,Rezultate anormale ale imaginii diagnostice cu alte localizari ale sistemului osteo-muscular,"Rezultate anormale ale imaginii diagnostice si probelor functionale, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R938,Rezultate anormale ale imaginii diagnostice cu alte localizari,"Rezultate anormale ale imaginii diagnostice si probelor functionale, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R940,Rezultate anormale de explorari functionale ale sistemului nervos central,"Rezultate anormale ale imaginii diagnostice si probelor functionale, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R941,Rezultate anormale de exporari functionale ale sistemului nervos periferic si ale probelor senzoriale specifice,"Rezultate anormale ale imaginii diagnostice si probelor functionale, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R942,Rezultate anormale de explorare functionala pulmonara,"Rezultate anormale ale imaginii diagnostice si probelor functionale, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R943,Rezultate anormale de explorare functionala anormala cardio-vasculara,"Rezultate anormale ale imaginii diagnostice si probelor functionale, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R944,Rezultate anormale de explorare functionala renala,"Rezultate anormale ale imaginii diagnostice si probelor functionale, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R945,Rezultate anormale de explorare functionala hepatica,"Rezultate anormale ale imaginii diagnostice si probelor functionale, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R946,Rezultate anormale de explorare functionala tiroidiana,"Rezultate anormale ale imaginii diagnostice si probelor functionale, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R947,Rezultate anormale ale altor explorari functionale endocrine,"Rezultate anormale ale imaginii diagnostice si probelor functionale, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R948,Rezultate anormale de explorare functionala ale altor organe si sisteme,"Rezultate anormale ale imaginii diagnostice si probelor functionale, fara diagnostic","Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R95,Sindromul mortii subite la sugar,Cauze de mortalitate rau definite si necunoscute,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R960,Moarte instantanee,Cauze de mortalitate rau definite si necunoscute,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R961,"Decesul survenind in mai putin de 24 de ore dupa debutul simptomelor, fara alta explicatie",Cauze de mortalitate rau definite si necunoscute,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R98,Decesul fara martor,Cauze de mortalitate rau definite si necunoscute,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
R99,"Alte cauze de deces, rau definite si neprecizate",Cauze de mortalitate rau definite si necunoscute,"Simptome, semne si rezultate anormale ale investigatiilor clinice si de laborator, neclasate in alta parte"
S000,Leziunea traumatica superficiala a pielii paroase a capului,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S001,Contuzia pleoapei si a regiunii peri-oculare,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S002,Alte leziuni traumatice superficiale ale pleoapei si ale regiunii peri-oculare,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S003,Leziunea traumatica superficiala a nasului,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S004,Lezuinea traumatica superficiala a urechii,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S005,Leziunea traumatica superficiala a buzelor si cavitatii bucale,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S007,Leziunea traumatica superficiala multipla a capului,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S008,Leziunea traumatica superficiala a capului cu alta localizare,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S009,"Leziunea traumatica superficiala a capului, localizare neprecizate",Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S010,Plaga deschisa a pielii paroase a capului,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S011,Plaga deschisa a pleoapei si a regiunii peri-oculare,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S012,Plaga deschisa a nasului,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S013,Plaga deschisa a urechii,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S014,Plaga deschisa a fetei si a regiunilor temporo-maxilare,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S015,Plaga deschisa a buzelor si cavitatii bucale,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S017,Plagi deschise multiple ale capului,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S018,Plaga deschisa a capului cu alta localizare,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S019,"Plaga deschisa a capului, localizare neprecizata",Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S020,Fractura boltei craniene,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S021,Fractura bazei craniene,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S022,Fractura osului nazal,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S023,Fractura planseului orbitei,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S024,Fractura osului molar si a maxilarelor,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S025,Fractura dentara,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S026,Fractura maxilarului inferior,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S027,Fracturi multiple ale craniului si oaselor fetei,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S028,Fractura altor oase ale craniului si ale fetei,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S029,"Fractura craniului si a oaselor fetei, localizare neprecizata",Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S030,Luxatia maxilalelor,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S031,Luxatia cartilajului septal al nasului,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S032,Luxatia dentara,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S033,Luxatia cu alte localizari sau neprecizate ale capului,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S034,Entorsa maxilarului,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S035,Entorsa si intinderea de ligamente a articulatiei capului cu alte localizari si neprecizate,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S040,Leziunea traumatica a nervilor si cailor optice,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S041,Leziunea traumatica a nervului moto-ocular-comun,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S042,Leziunea traumatica a nervului patetic,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S043,Leziunea traumatica a nervului trigemen,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S044,Leziunea traumatica a nervului oculomotor extern,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S045,Leziunea traumatica a nervului facial,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S046,Leziunea traumatica a nervului auditiv,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S047,Leziunea traumatica a nervului spinal,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S048,Leziunea traumatica a altor nervi cranieni,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S049,"Leziunea traumatica a unui nerv cranian, fara precizare",Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S050,Leziunea traumatica a conjunctivei si abraziunea corneeii fara mentiunea de corp strain,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S051,Contuzia globului ocular si a tesuturilor orbitei,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S052,Laceratia si ruptura oculara cu prolaps sau pierdere de tesut intra-ocular,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S053,Laceratia oculara fara prolaps sau pierdere de tesut intra-ocular,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S054,Plaga penetranta a orbitei cu sau fara corpi straini,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S055,"Plaga penetranta a globului ocular, cu corpi straini",Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S056,"Plaga penetranta a globului ocular, fara corpi straini",Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S057,Traumatismul ochiului,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S058,Alte leziuni traumatice ale ochiului si orbitei,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S059,"Leziunea traumatica a ochiului si orbitei, localizarea neprecizata",Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S060,Comotie,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S061,Edem cerebral traumatic,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S062,Leziune traumatica cerebrala in focar,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S063,Leziune traumatica in focar,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S064,Hemoragie epidurala,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S065,Hemoragie subdurala traumatica,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
S066,Hemoragia subarahnoida traumatica,Leziuni traumatice ale capului,"Leziuni traumatice, otraviri si alte consecinte ale cauzelor externe"
